"","x"
"1","SAMD11"
"2","NOC2L"
"3","KLHL17"
"4","PERM1"
"5","HES4"
"6","ISG15"
"7","AGRN"
"8","C1orf159"
"9","TTLL10"
"10","TNFRSF18"
"11","TNFRSF4"
"12","SDF4"
"13","B3GALT6"
"14","UBE2J2"
"15","SCNN1D"
"16","ACAP3"
"17","PUSL1"
"18","CPTP"
"19","TAS1R3"
"20","DVL1"
"21","MXRA8"
"22","AURKAIP1"
"23","CCNL2"
"24","MRPL20"
"25","ANKRD65"
"26","VWA1"
"27","ATAD3C"
"28","ATAD3B"
"29","ATAD3A"
"30","TMEM240"
"31","SSU72"
"32","MIB2"
"33","MMP23B"
"34","CDK11B"
"35","SLC35E2B"
"36","CDK11A"
"37","NADK"
"38","GNB1"
"39","CALML6"
"40","TMEM52"
"41","CFAP74"
"42","GABRD"
"43","PRKCZ"
"44","FAAP20"
"45","SKI"
"46","MORN1"
"47","RER1"
"48","PEX10"
"49","PLCH2"
"50","PANK4"
"51","HES5"
"52","TNFRSF14"
"53","MMEL1"
"54","TTC34"
"55","PRDM16"
"56","ARHGEF16"
"57","MEGF6"
"58","TPRG1L"
"59","WRAP73"
"60","SMIM1"
"61","LRRC47"
"62","CEP104"
"63","DFFB"
"64","C1orf174"
"65","AJAP1"
"66","NPHP4"
"67","KCNAB2"
"68","CHD5"
"69","RPL22"
"70","RNF207"
"71","ICMT"
"72","GPR153"
"73","ACOT7"
"74","HES2"
"75","ESPN"
"76","TNFRSF25"
"77","PLEKHG5"
"78","NOL9"
"79","ZBTB48"
"80","KLHL21"
"81","PHF13"
"82","THAP3"
"83","DNAJC11"
"84","CAMTA1"
"85","VAMP3"
"86","PER3"
"87","TNFRSF9"
"88","PARK7"
"89","ERRFI1"
"90","SLC45A1"
"91","RERE"
"92","ENO1"
"93","SLC2A5"
"94","GPR157"
"95","H6PD"
"96","SPSB1"
"97","SLC25A33"
"98","TMEM201"
"99","PIK3CD"
"100","CLSTN1"
"101","CTNNBIP1"
"102","LZIC"
"103","NMNAT1"
"104","RBP7"
"105","UBE4B"
"106","KIF1B"
"107","PGD"
"108","DFFA"
"109","PEX14"
"110","CASZ1"
"111","C1orf127"
"112","TARDBP"
"113","MASP2"
"114","SRM"
"115","EXOSC10"
"116","MTOR"
"117","ANGPTL7"
"118","UBIAD1"
"119","FBXO2"
"120","FBXO44"
"121","FBXO6"
"122","MAD2L2"
"123","DRAXIN"
"124","AGTRAP"
"125","C1orf167"
"126","MTHFR"
"127","CLCN6"
"128","NPPA"
"129","NPPB"
"130","KIAA2013"
"131","PLOD1"
"132","MFN2"
"133","MIIP"
"134","TNFRSF1B"
"135","VPS13D"
"136","DHRS3"
"137","LRRC38"
"138","PDPN"
"139","PRDM2"
"140","KAZN"
"141","TMEM51"
"142","FHAD1"
"143","EFHD2"
"144","CTRC"
"145","CASP9"
"146","DNAJC16"
"147","AGMAT"
"148","DDI2"
"149","PLEKHM2"
"150","SLC25A34"
"151","FBLIM1"
"152","UQCRHL"
"153","SPEN"
"154","ZBTB17"
"155","HSPB7"
"156","CLCNKA"
"157","CLCNKB"
"158","FAM131C"
